sample	biome	sample	h	hc	ssu.cnt	ssu.cov
Axial_Seamount_Hydrothermal_Vent	marine	Axial_Seamount_Hydrothermal_Vent	8.74322064255576	9.0104318189628	22597	0.264430147058824
Copano_Bay	marine	Copano_Bay	6.33160883915762	6.7295771478743	11627	0.4
Galveston_Bay	marine	Galveston_Bay	6.67254284980317	7.0265271258855	6492	0.377788324632178
Indian_Sea	marine	Indian_Sea	5.11704241717258	5.21077767866306	124869	0.611319184352892
Mediterranean_Sea	marine	Mediterranean_Sea	5.93990547550289	6.06580130324268	101541	0.630709134615385
MidCayman_Rise_Subseafloor	marine	MidCayman_Rise_Subseafloor	4.49215344543444	4.72115451587897	3967	0.572519083969466
Noosa_Estuary	marine	Noosa_Estuary	8.33903530840214	8.62233958610101	45878	0.514729114394573
North_Atlantic_Ocean	marine	North_Atlantic_Ocean	6.28813555232103	6.45751168515895	84421	0.592619392185239
North_Pacific_Ocean	marine	North_Pacific_Ocean	6.12223230155162	6.27944102831881	105483	0.576286978802702
Nueces_Bay	marine	Nueces_Bay	6.14703486141564	6.46084145627893	23612	0.479399441340782
Red_Sea	marine	Red_Sea	5.13142230997242	5.23996704897484	125093	0.604293381037567
South_Atlantic_Ocean	marine	South_Atlantic_Ocean	5.71408750166421	5.84821634048896	66500	0.642365330093155
South_Pacific_Ocean	marine	South_Pacific_Ocean	5.47091805802536	5.57453035695424	120399	0.613978494623656
Arsenic_Antimony_Soil	soil	Arsenic_Antimony_Soil	7.20049324334354	7.5941859812675	18057	0.425015556938395
Australia_Calcarosols	soil	Australia_Calcarosols	10.0235042138408	10.0867984850282	29826	0.135078618249085
Australia_Forest_IonTorrent	soil	Australia_Forest_IonTorrent	5.93940499043968	5.9528686427022	407	0.0490956072351422
Australia_Tenosols	soil	Australia_Tenosols	9.9680657019968	10.0176856139267	26115	0.0901464771591255
Australia_Vertosols	soil	Australia_Vertosols	9.78785420186695	9.85974014945916	24662	0.154822844524742
Florianopolis_Dune	soil	Florianopolis_Dune	7.18944609058849	7.44199744495672	8798	0.502257336343115
Florianopolis_Forest	soil	Florianopolis_Forest	7.18038290201723	7.397853245618	8287	0.579450915141431
Florida_Beach_Sediments	soil	Florida_Beach_Sediments	6.21618177834612	6.46371895469391	2103	0.400229357798165
Konjac_Plowland	soil	Konjac_Plowland	4.31352561729229	4.42851850175883	115919	0.528571428571429
Kutch_Saline_Desert_Soil_IonTorrent	soil	Kutch_Saline_Desert_Soil_IonTorrent	3.92494239329926	4.18311115442468	435	0.472727272727273
Oklahoma_Grassland	soil	Oklahoma_Grassland	7.70796955506257	7.98604005431736	14642	0.452198036705079
Swamp	soil	Swamp	8.25969158801317	8.52356957265803	34903	0.536038077969175
Wisconsin_Corn_Soil	soil	Wisconsin_Corn_Soil	7.952170115376	8.20402365615066	15250	0.451655379984951
Wisconsin_Native_Prairie	soil	Wisconsin_Native_Prairie	7.58181166230475	7.8771718422884	28491	0.522006141248721
Wisconsin_Switchgrass_Soil	soil	Wisconsin_Switchgrass_Soil	7.90891300137351	8.16089935884974	18991	0.498546511627907
HMP_Mock_Even	z-mock	HMP_Mock_Even	1.34242268	1.34242268	NA	1
HMP_Mock_Even_454	z-mock	HMP_Mock_Even_454	1.34242268	1.34242268	NA	1
HMP_Mock_Staggered	z-mock	HMP_Mock_Staggered	0.73109333	0.73109333	NA	1
HMP_Mock_Staggered_454	z-mock	HMP_Mock_Staggered_454	0.73109333	0.73109333	NA	1
MBARC26	z-mock	MBARC26	1.19595227	1.136425379	NA	1
M63H_25M	z-mock	M63H_25M	1.770852012	1.770852012	NA	1
