biome	sample	h	DateTime	Station	LatN	LonE	Feature	DepthFrom	DepthTo	SizeFrx	Run	Depth	Date	RadiansDate	Vernality	Wintriness	Location	hc	ssu.cnt	ssu.cov
_tara	ERR599097	6.05678622202075	2010-01-11T14:17	TARA_032	23.4183	37.245	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	78	82	0.22-1.6 um	ERR599097	80	2010-01-11	0.191986217719376	0.190808995376545	0.981627183447664	Red Sea	6.17066566720788	97081	0.675955930006481
_tara	ERR599098	5.19790244467337	2010-05-17T04:10	TARA_052	-16.957	53.9801	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599098	5	2010-05-17	2.39110107523223	-0.681998360062498	0.73135370161917	Indian Ocean	5.39117638398257	22376	0.595255744996294
_tara	ERR599099	5.76438321318124	2011-12-02T20:42	TARA_137	14.2075	-116.6468	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	38	42	0.22-3 um	ERR599099	40	2011-12-02	5.79449311662117	-0.469471562785892	0.882947592858927	North Pacific Ocean	5.96900401869287	26408	0.553879310344828
_tara	ERR599100	5.95846043096411	2012-01-09T20:17:16	TARA_142	25.6168	-88.4532	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	121	130	0.22-3 um	ERR599100	125.5	2012-01-09	0.15707963267949	0.156434465040231	0.987688340595138	North Atlantic Ocean	6.08829642610917	103687	0.597444089456869
_tara	ERR599101	6.24436144165382	2010-11-04T18:16:53	TARA_078	-30.1484	-43.2705	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	120	120	0.22-3 um	ERR599101	120	2010-11-04	5.30580092606276	0.829037572555042	-0.559192903470746	South Atlantic Ocean	6.37425561891804	109541	0.674780426599749
_tara	ERR599102	5.41145540082046	2010-03-15T03:35	TARA_038	19.0393	64.4913	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599102	5	2010-03-15	1.30899693899575	0.965925826289068	0.258819045102521	Indian Ocean	5.53506572295606	46600	0.645082467929139
_tara	ERR599103	5.80976885614396	2010-09-14T13:30	TARA_068	-31.027	4.6802	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	48	52	0.22-3 um	ERR599103	50	2010-09-14	4.4331363000656	0.961261695938319	0.275637355816999	Indian Ocean	6.01355769187796	17200	0.606779661016949
_tara	ERR599104	4.84644697869894	2011-01-06T19:34:21	TARA_085	-62.2231	-49.2139	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	80	98	0.22-3 um	ERR599104	89	2011-01-06	0.10471975511966	-0.104528463267653	-0.994521895368273	Southern Ocean	5.01084411485465	23055	0.624173748819641
_tara	ERR599105	5.65028109945293	2010-10-05T08:00	TARA_072	-8.7789	-17.9099	surface water layer (ENVO:00002042)	3	7	0.22-3 um	ERR599105	5	2010-10-05	4.79965544298441	0.996194698091746	-0.0871557427476579	Indian Ocean	5.88857984838323	14183	0.581081081081081
_tara	ERR599106	5.13142230997242	2010-01-09T07:15	TARA_031	27.16	27.1433	surface water layer (ENVO:00002042)	3	7	0.22-1.6 um	ERR599106	5	2010-01-09	0.15707963267949	0.156434465040231	0.987688340595138	Mediterranean Sea	5.23996704897484	125093	0.604293381037567
_tara	ERR599107	5.90104566737281	2010-07-15T15:36:10	TARA_066	-34.8901	18.0459	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	30	30	0.22-3 um	ERR599107	30	2010-07-15	3.40339204138894	0.258819045102521	0.965925826289068	Indian Ocean	6.10307400725028	20107	0.611877624475105
_tara	ERR599108	5.75374392450939	2011-05-12T22:15	TARA_109	2.0299	-84.5546	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	28	32	0.22-3 um	ERR599108	30	2011-05-12	2.30383461263252	0.743144825477394	-0.669130606358858	North Pacific Ocean	5.93140610517957	30950	0.58008658008658
_tara	ERR599109	5.63889041837473	2010-03-16T06:13:30	TARA_038	19.0351	64.5638	mesopelagic zone (ENVO:00000213) and marine oxygen minimum zone (ENVO:01000065)	332	350	0.22-1.6 um	ERR599109	341	2010-03-16	1.32645023151569	0.970295726275996	0.241921895599668	Indian Ocean	5.89323815255118	23553	0.501766784452297
_tara	ERR599110	5.98809329221742	2010-07-12T11:03:22	TARA_065	-35.2421	26.3048	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	30	30	0.22-3 um	ERR599110	30	2010-07-12	3.35103216382911	0.207911690817759	0.978147600733806	Indian Ocean	6.12196509606136	91754	0.617486338797814
